languagekey,en_value (current),hi_translated,hi_transliterated,hi_value(curated),ta_translated,ta_transliterated,ta_value (curated)
en.faq.learnHeader,"Learnhub is one among the many hubs that facilitates competency building through suitable courses, assessments and learning recommendations (i.e. CBPs).",,,,,,
en.faq.cbpTitle,What is a CBP?,,,,,,
en.faq.cbpDescription,"Competency Building Product (CBP) is a content comprising of resources, course, modules and programs which can be consumed by the government officials to enhance their competencies or acquire new ones. ",,,,,,
en.faq.cbpHowtitle,How can I search for a CBP?,,,,,,
en.faq.cbpHowDescription,'You can search for a CBP through various ways: 1. Search a CBP by name 2. Explore by topics 3. Explore by competencies 4. Explore by topics',,,,,,
en.faq.cbpWhereTitle,Where can I see all the newly added CBPs?,,,,,,
en.faq.cbpWhereDesc,You can view all the newly added CBPs under the 'Newly added course' section in the homepage.,,,,,,
en.faq.cbpLearning,How can I start learning?,,,,,,
en.faq.cbpPanelDescription,"After selecting the CBP that you want to learn, click on the 'Start' button.",,,,,,
en.faq.resumePassCBPQ,Can I resume/pause a CBP?,,,,,,
en.faq.resumePassCBPA,"Yes, you can pause a CBP that you are currently consuming and resume at any point of time.",,,,,,
en.faq.assessmentQuery, Is it necessary to pass an assessment?,,,,,,
en.faq.assesmentAnswer,It is necessary to pass the CBP assessment for you to acquire the competency that the CBP caters to.,,,,,,
en.faq.competencyAssessment,What is a competency assessment?,,,,,,
en.faq.competencyAssessmentAns,"Every competency will have assessments attached to it and only after passing the assessment with minimun required score, you will be able to acquire the competency and attached it to you competency list",,,,,,
en.faq.cbpCreator,Who creates the CBPs?,,,,,,
en.faq.cbpCreatorAns,The CBPs are created by the CBP providers through the CBP portal which is listed after going through a review process. ,,,,,,
en.faq.discussQue,How can I use the discuss forum?,,,,,,
en.faq.discussQueAns,"The discuss hub enables you to post your query, idea or suggestion which will be visible to all officials on the platform. Other officials can then engage with your post, provide necessary information and guide the official",,,,,,
en.faq.discussPost, Who can see my posts?,,,,,,
en.faq.discussPostAns,Any official who have been onboarded to the iGOT Karmayogi platform will be able to view and engage with your post.,,,,,,
en.faq.discussDeletePost,Can I delete my post?,,,,,,
en.faq.discussDeletePostAns,"Yes, you will be able to edit or delete your post by clicking on the ellipses in the post.",,,,,,
en.faq.discussQuickAccessPostQ,How can I get quick access to a post?,,,,,,
en.faq.discussQuickAccessPostA,"You can bookmark a post to save it. Additionally, you can search for a post by selecting the right caterogy or tag.",,,,,,
en.faq.discussHowHubHelp,How can discuss hub help me?,,,,,,
en.faq.discussHowHubHelpAns,Discuss hub provides officials with an opportunity to benefit from insights from previous discussions and to trigger new conversations around particular queries they may have.,,,,,,
en.faq.networkConnQue,What are connections?,,,,,,
en.faq.networkConnAns,"Connections are the people (governement officials) who you are connected to in the iGOT platform. Your connections will be able to see the posts you have made, your profile details, your activites until you mark those as private.",,,,,,
en.faq.competenciesTitleWhere,Where can I see my competencies?,,,,,,
en.faq.competenciesTitleWhereAns,You can see the competencies that you have acquired and the list of recommended competencies in the Competency hub.,,,,,,
en.faq.competenciesWhatIsHub,What is a competency hub?,,,,,,
en.faq.competenciesHubAns,Competency hub is one of the key hubs in the iGOT platform detailing about the recommended competencies for your position and your acquired competencies thus giving information about your competency gap.,,,,,,
en.faq.competencyAcquire, How can I acquire a competency?,,,,,,
en.faq.competencyAcquireAns,"You can acquire a competency by consuming CBP and taking up the CBP assessments catering to that competencies, taking up the competency assessment. WPCAS and PIAA will also be required in the future to acquire a competency.",,,,,,
en.faq.competencyQ,What are competencies?,,,,,,
en.faq.competencyA,"Competency is defined as a combination of attitudes, skills and knowledge (ASK) that enable an individual to perform a task or activity successfully in a given job. There are three types of competencies – Behavioural, Domain and Functional",,,,,,
en.faq.whatIsWpacs,What is WPCAS?,,,,,,
en.faq.wpacsAnswer,"An official’s Workplace Competency Assessment Score (WPCAS) is constructed from their colleagues’ (peers, subordinates, and superiors) assessments about their performance. Through these assessments, an official’s colleagues are provided the opportunity to examine the extent to which he/she is demonstrating a particular competency in the workplace. For each competency an official is supposed to have, his/her colleagues receive questions where they are asked to indicate how he/she performed recently on that competency. The responses to these questions are then collated to create a single score for each competency every 3 months. The assessments also serve the purpose of providing feedback to help officials improve their performance.",,,,,,
en.faq.cbpCompetencyStore,What is CBP competency score?,,,,,,
en.faq.cbpCompetencyStoreAns,This score will be given to a learner on the completion of a CBP and its corresponding assessments. It is based on the learner’s performance on these assessments and contributes to the TCS (thereby the overall competency score of an individual).,,,,,,
en.faq.whatIsFrac,What is FRAC?,,,,,,
en.faq.frcCAns,"The Framework of Roles, Activities and Competencies (FRAC), as termed within Mission Karmayogi’s Integrated Government Online Training platform (iGOT) initiative, is the mapping of three constructs (roles, activities and competencies, supported by knowledge resources) for each individual position within all government ministries, departments and organisations (MDOs) at the national, state and local level.",,,,,,
en.faq.workOrderQ,What is a Work order?,,,,,,
en.faq.workOrderA,"Work allocation orders are documents which formally allocate the roles and accountabilities to every government official, usually upon joining. These are allocated by the supervisor or Head of the MDO, and updated as and when necessary.",,,,,,
en.profileView.editProfile,Edit Profile,,,,,,
en.profileView.connections,Connections,,,,,,
en.profileView.discussions,Discussions,,,,,,
en.profileView.noInfoavailable,No Information Available,,,,,,
en.profileView.yourStats,Your stats,,,,,,
en.profileView.showAll,Show all,,,,,,
en.profileView.myDiscussions,My Discussions,,,,,,
en.profileView.recentPosts,Recent posts,,,,,,
en.profileView.bestPosts,Best posts,,,,,,
en.profileView.savedPosts,Saved posts,,,,,,
en.profileView.noData,No Data,,,,,,
en.profileV2LeftMenu.profileInfo,Profile info,,,,,,
en.profileV2LeftMenu.certifications,Certifications,,,,,,
en.profileV2LeftMenu.careerHistory,Career history,,,,,,
en.profileV2LeftMenu.academics,Academics,,,,,,
en.profileV2LeftMenu.hobbies,Hobbies,,,,,,
en.profileCretificationsV2.certifications,Certifications,,,,,,
en.profileCretificationsV2.Issuedon,Issued on ,,,,,,
en.profileCretificationsV2.certificateNotIssued,Certificate Not issued,,,,,,
en.profileV2Career.careerHistory,Career history,,,,,,
en.profileV2Career.joined,Joined,,,,,,
en.profileV2Career.noCareerInformation,No career information available,,,,,,
en.profileV2Academics.academics,Academics,,,,,,
en.profileV2Academics.noInformation,No Information Available,,,,,,
en.profileV2Hobbies.hobbies,Hobbies,,,,,,
en.profileV2Hobbies.noInformation,No hobbies information available ,,,,,,
en.publicHome.mainSectionContent,Learn. Network. Grow your career.,,,,,,
en.publicHome.mainSectionContentDesc,Gain skills to rocket your career growth. Connect with civil servants and experts to learn and discover new opportunities in the Indian civil services.,,,,,,
en.publicHome.learnAndNetwork,Learn and network with civil servants and subject matter experts across India,,,,,,
en.publicHome.serviceHeading,How does the platform enable you to become the best version of yourself?,,,,,,
en.publicHome.expCivilServant,An experienced civil servant,,,,,,
en.publicHome.journeySectionMain,Start your learning journey,,,,,,
en.publicHome.journeySectionPara,Are you a government official without an iGOT Karmayogi account yet? Start here.,,,,,,
en.publicHome.servicesSection,A newly recruited civil servant,,,,,,
en.publicHome.learningHub,Learning hub,,,,,,
en.publicHome.learnhubPara,"Learn anywhere, anytime and bridge your competency gaps using impactful and engaging learning content.",,,,,,
en.publicHome.discussionHub,Discussion hub,,,,,,
en.publicHome.ServiceItemDiscussion,"Discuss and learn with peers, colleagues, civil servants and experts across the country.",,,,,,
en.publicHome.networkHub,Network hub,,,,,,
en.publicHome.networkHubParagraph,Connect with civil servants across the country. Grow your network within government circles.,,,,,,
en.publicHome.competencyHub,Competency hub,,,,,,
en.publicHome.competencyHubPara,"Identify your competency requirements, competency gaps, so you can grow faster in the right direction.",,,,,,
en.publicHome.careerHub,Career hub,,,,,,
en.publicHome.careerHubPara,Explore career opportunities across the country and signal your expertise.,,,,,,
en.publicHome.eventHub,Events hub,,,,,,
en.publicHome.eventHubPara,Join online and in-person events to break silos and share ideas.,,,,,,
en.publicHome.walkthroughIgot,Walkthrough of the iGOT Karmayogi Portal,,,,,,
en.publicHome.igotWalkthrough,Gain skills to rocket your career growth. Connect with civil servants and experts to learn and discover new opportunities in the Indian civil services.,,,,,,
en.publicHome.growSection,Learn. Network. Take your career growth to the next level.,,,,,,
en.home.learnHub,Go to learn hub,,,,,,
en.home.updateTitle,Update your mobile number,,,,,,
en.home.updateMobile,Update your mobile number. This will enable you to login with your mobile number easily and receive important alerts on your mobile.,,,,,,
en.home.whyItIsImp,Why it is important ?,,,,,,
en.home.networkHub,Go to Network hub,,,,,,
en.home.suggestedForYou,Suggested for you,,,,,,
en.home.connect,Connect,,,,,,
en.home.connecting,Connecting...,,,,,,
en.home.newRecommendation,As of now there are no recommendations found for you.,,,,,,
en.home.gotToDiscussHubs,Go to discuss hub,,,,,,
en.home.btnDiscuss,Discuss,,,,,,
en.home.subDiscussTrendingDiscuss,Trending discussions,,,,,,
en.home.networkConnectwith,Connect with people you may know,,,,,,
en.home.btnView,View,,,,,,
en.home.cardNewlyAddedCourses,Newly added courses,,,,,,
en.home.learnContinue,Continue learning,,,,,,
en.home.profileCardInProgress,In Progress,,,,,,
en.home.labelMyLearning,My Learning,,,,,,
en.home.profileCardCertificate,Certificate,,,,,,
en.home.profileCardLearning,Learning hours,,,,,,
en.home.profileCardWeeklyclaps,Weekly claps,,,,,,
en.home.profileCardWeeks,weeks,,,,,,
en.home.tabCompleted,Completed,,,,,,
en.home.btnResume,Resume,,,,,,
en.home.blendedProgramBanner,Blended Program,,,,,,
en.home.navigationDetails,Details,,,,,,
en.home.blendedProgramBatchStart,This batch starts in,,,,,,
en.home.blendedProgramWithdrawReq, Withdraw your request ,,,,,,
en.home.blendedProgramEnrollReq,Your enrollment request is being reviewed. You will be notified when it is approved.,,,,,,
en.home.blendedProgramCheckLiveLoc,Kindly check the location details and plan in advance.,,,,,,
en.home.blendedProgramBatchLoc,Batch location,,,,,,
en.home.blendedProgramOverview,Overview,,,,,,
en.home.blendedProgramContent,Content,,,,,,
en.home.blendedProgramSessions,Sessions,,,,,,
en.home.blendedProgramDiscussion,Discussion,,,,,,
en.home.blendedProgramSummary,Summary,,,,,,
en.home.blendedProgramDescription,Description,,,,,,
en.home.blendedProgramAuthorsCurators,Authors and curators,,,,,,
en.home.competencyType,Type,,,,,,
en.home.competencyRatingReview,Ratings and reviews,,,,,,
en.home.blendedProgramNoReviewFound,No reviews found!,,,,,,
en.home.blendedProgramTopReviews,Top reviews,,,,,,
en.home.placeholderSearch,Search,,,,,,
en.home.cardTrendingDepartment,Trending across department,,,,,,
en.home.cardPrograms,Programs,,,,,,
en.home.cardCourses,Courses,,,,,,
en.home.labelLearning30Min,Learning under 30 min,,,,,,
en.home.labelMostTrending,Most trending,,,,,,
en.home.discussUpdateOnPost,Updates on your posts,,,,,,
en.home.discussionMonthsAgo,months ago,,,,,,
en.home.networkRecentReq,Recent requests,,,,,,
en.home.networkBuildConn,Built your connections within your department and other departments.,,,,,,
en.home.networkFindConn,Find COnnections,,,,,,
en.home.topProviderSliders,Top providers powering your learning,,,,,,
en.home.scannerDownload,Download,,,,,,
en.home.scannerIgotKarmyogiApp,iGOT Karmayogi mobile app,,,,,,
en.home.scannerSubtext,Continue your lifelong learning experience anywhere anytime.,,,,,,
en.home.scanToDownload,Scan to Download,,,,,,
en.home.nudgesText,Update your mobile number,,,,,,
en.home.nudgesButton,Update,,,,,,
en.userProfile.home,home,,,,,,
en.userProfile.network,Network,,,,,,
en.userProfile.updateprofile,Update profile,,,,,,
en.userProfile.personalDetails,Personal Details,,,,,,
en.userProfile.maxFileSize,Max file size: 1 MB,,,,,,
en.userProfile.supportedFiles,"Supported file types: JPG, JPEG, PNG",,,,,,
en.userProfile.fullName,Full Name,,,,,,
en.userProfile.enterFullName,Enter Full Name,,,,,,
en.userProfile.fullNameMandatory,Full name is mandatory,,,,,,
en.userProfile.fullNameWithConditions,"Name field can only contain letters, space and the character (').",,,,,,
en.userProfile.dob,Date of Birth (dd-mm-yyyy),,,,,,
en.userProfile.dobMandatory,Date of Birth is mandatory,,,,,,
en.userProfile.nationality,Nationality,,,,,,
en.userProfile.domicileMedium,Domicile Medium (Mother Tongue),,,,,,
en.userProfile.domicileMandatory,Domicile Medium is mandatory,,,,,,
en.userProfile.domicileEror,Please choose a value from the list provided above.,,,,,,
en.userProfile.gender,Gender,,,,,,
en.userProfile.male,Male,,,,,,
en.userProfile.female,Female,,,,,,
en.userProfile.others,Others,,,,,,
en.userProfile.martalStatus,Marital Status,,,,,,
en.userProfile.single,Single,,,,,,
en.userProfile.married,Married,,,,,,
en.userProfile.category,Category,,,,,,
en.userProfile.general,General,,,,,,
en.userProfile.obc,OBC,,,,,,
en.userProfile.sc,SC,,,,,,
en.userProfile.st,ST,,,,,,
en.userProfile.otherLanguages,Other Languages Known,,,,,,
en.userProfile.otherLanguageMandatory,Other Languages Known is mandatory,,,,,,
en.userProfile.mobileNumber,Mobile Number,,,,,,
en.userProfile.mobileNumbererror,Please enter your mobile number,,,,,,
en.userProfile.mobileNumberlengthError,Please enter a valid 10 digit mobile number,,,,,,
en.userProfile.sendOTP,Send OTP,,,,,,
en.userProfile.resendOTPafter,Resend OTP after,,,,,,
en.userProfile.resendOTP,Resend OTP,,,,,,
en.userProfile.verifyOTP,Verify OTP,,,,,,
en.userProfile.telephoneNumber,"Telephone Number (e.g., 0123-26104183 or 012327204281)",,,,,,
en.userProfile.telephoneNumberValidation,"Please enter a valid telephone number (e.g., 0123-26104183 or 012327204281)",,,,,,
en.userProfile.telephoneMandatory,Telephone Number is mandatory,,,,,,
en.userProfile.primaryEmail,Primary Email,,,,,,
en.userProfile.primaryEmailMandatory,Primary Email is mandatory,,,,,,
en.userProfile.officialEmail,This is my official email,,,,,,
en.userProfile.secondaryEmail,Secondary Email,,,,,,
en.userProfile.secondaryEmailValidation,Max 64 characters before '@' & 255 characters after '@' are valid.,,,,,,
en.userProfile.postalAddress,Postal Address,,,,,,
en.userProfile.postalAddressMandatory,Postal Address is mandatory,,,,,,
en.userProfile.postalAddressLengthValidation,You have exceeded 200 characters.,,,,,,
en.userProfile.addressPlaceholder,Type Your Residence Address Here,,,,,,
en.userProfile.pinCode,Pin Code,,,,,,
en.userProfile.pinMandatory,Pin Code is mandatory,,,,,,
en.userProfile.pinLength,Please enter a valid 6 digit pincode,,,,,,
en.userProfile.earnKarmayogiBadge,Earn your Karmayogi Badge today,,,,,,
en.userProfile.academics,Academics,,,,,,
en.userProfile.10th,10th Standard,,,,,,
en.userProfile.schoolName,School Name,,,,,,
en.userProfile.schoolNameMandatory,School Name is mandatory,,,,,,
en.userProfile.12th,12th Standard,,,,,,
en.userProfile.yearOfPasssing,Year of Passsing,,,,,,
en.userProfile.4DigitYear,Please enter a valid 4 digit year,,,,,,
en.userProfile.graduationDetails,Graduation Details,,,,,,
en.userProfile.degree,Degree,,,,,,
en.userProfile.other,Other,,,,,,
en.userProfile.othergraduationNandatory,Other Graduation Name is mandatory,,,,,,
en.userProfile.instituteName,Institute Name,,,,,,
en.userProfile.instituteNameMandatory,Institute Name is mandatory,,,,,,
en.userProfile.addOtherQualification,Add Other Qualification,,,,,,
en.userProfile.postGraduationDetails,Post Graduation Details,,,,,,
en.userProfile.professionalDetails,Professional Details,,,,,,
en.userProfile.governmentOrganisation,Government Organisation,,,,,,
en.userProfile.nonGovernmentOrganisation,Non-Government Organisation,,,,,,
en.userProfile.organisationName,Organisation Name,,,,,,
en.userProfile.otherOrganisationNameMandatory,Other Organisation Name is mandatory,,,,,,
en.userProfile.industry,Industry,,,,,,
en.userProfile.otherIndustryName,Other Industry Name is mandatory,,,,,,
en.userProfile.designation,Designation,,,,,,
en.userProfile.otherDesignationNameMandatory,Other Designation Name is mandatory,,,,,,
en.userProfile.country,Country,,,,,,
en.userProfile.dateOfJoining,Date of Joining,,,,,,
en.userProfile.dateOfJoiningMandatory,Date of Joining is mandatory,,,,,,
en.userProfile.description,Description,,,,,,
en.userProfile.descriptionLength,You have exceeded 500 characters.,,,,,,
en.userProfile.characters,characters,,,,,,
en.userProfile.otherDetailsGovernmentEmployees,Other Details For Government Employees (If Applicable),,,,,,
en.userProfile.payBand,Pay Band (Grade Pay),,,,,,
en.userProfile.service,Service,,,,,,
en.userProfile.cadre,Cadre,,,,,,
en.userProfile.allotmentYearOfService,Allotment Year of Service,,,,,,
en.userProfile.civilListNumber,Civil List Number,,,,,,
en.userProfile.civilListNumberMandatory,Civil List Number is mandatory,,,,,,
en.userProfile.employeeCode,Employee Code,,,,,,
en.userProfile.employeeCodeMandatory,Employee Code is mandatory,,,,,,
en.userProfile.officePostalAddress,Office Postal Address,,,,,,
en.userProfile.officePostalAddressMandatory,Office Postal Address is mandatory,,,,,,
en.userProfile.officePostalAddressLength,You have exceeded 200 characters.,,,,,,
en.userProfile.tags,Tags,,,,,,
en.userProfile.noTags,No tags available,,,,,,
en.userProfile.approveRequest,"Once Your department will approve your request, System will unlock this section.",,,,,,
en.userProfile.saveDetails,Save Details,,,,,,
en.publicsignup.register,Register,,,,,,
en.publicsignup.fullName,Full name,,,,,,
en.publicsignup.fullNameMandatory,Full name is mandatory,,,,,,
en.publicsignup.enterYourFullName,Enter your full name,,,,,,
en.publicsignup.fullNameWitoutSp,"Name field can only contain letters, space and the character (').",,,,,,
en.publicsignup.group,Group,,,,,,
en.publicsignup.selectYourGroup,Select your group,,,,,,
en.publicsignup.groupMandatory, Group is mandatory,,,,,,
en.publicsignup.email,Email,,,,,,
en.publicsignup.enterYourEmailAddress,Enter your email address,,,,,,
en.publicsignup.pleaseEnterEmail,Please enter your email address,,,,,,
en.publicsignup.validEmail,Please enter a valid email address,,,,,,
en.publicsignup.emailLengthValidation,Max 64 characters before '@' & 255 characters after '@' are valid.,,,,,,
en.publicsignup.donotHaveGovernmentEmail,Do not have a government email address?,,,,,,
en.publicsignup.requestForHelp,Request for help,,,,,,
en.publicsignup.sendOTP,Send OTP,,,,,,
en.publicsignup.enterOTP,Enter OTP,,,,,,
en.publicsignup.resendOTPAfter,Resend OTP after,,,,,,
en.publicsignup.resendOTP,Resend OTP,,,,,,
en.publicsignup.verifyOTP,Verify OTP,,,,,,
en.publicsignup.mobileNumber,Mobile Number,,,,,,
en.publicsignup.pleaseEnterMobileNumber,Please enter your mobile number,,,,,,
en.publicsignup.validMobilenumber,Please enter a valid 10 digit mobile number,,,,,,
en.publicsignup.mobileOtp,Mobile otp is required,,,,,,
en.publicsignup.centerOrState,Center/State,,,,,,
en.publicsignup.center,Center,,,,,,
en.publicsignup.state,State,,,,,,
en.publicsignup.organisation,Organisation,,,,,,
en.publicsignup.searchOrganisation,Search organisation,,,,,,
en.publicsignup.search,Search,,,,,,
en.publicsignup.enterOrganisationName,Please enter your organisation name,,,,,,
en.publicsignup.notFound,Not found yet?,,,,,,
en.publicsignup.under,Under,,,,,,
en.publicsignup.noMatchingSearch,We couldn't find any matches for your search.,,,,,,
en.publicsignup.confirmInfo,I confirm that the above provided information is accurate.,,,,,,
en.publicsignup.agree,I agree to the IGOT karmayogi's,,,,,,
en.publicsignup.terms,Terms of Service,,,,,,
en.publicsignup.signup,SIGN UP,,,,,,
en.publicsignup.haveAccount,Already have an account?,,,,,,
en.publicsignup.signin,Sign in here,,,,,,
en.publicrequest.requestTo,Request to add,,,,,,
en.publicrequest.fullName,Full name,,,,,,
en.publicrequest.fullNameMandatory,Full name is mandatory,,,,,,
en.publicrequest.enterYourFullName,Enter your full name,,,,,,
en.publicrequest.fullNameWitoutSp,"Name field can only contain letters, space and the character (').",,,,,,
en.publicrequest.email,Email,,,,,,
en.publicrequest.enterYourEmailAddress,Enter your email address,,,,,,
en.publicrequest.pleaseEnterEmail,Please enter your email address,,,,,,
en.publicrequest.validEmail,Please enter a valid email address,,,,,,
en.publicrequest.emailLengthValidation,Max 64 characters before '@' & 255 characters after '@' are valid.,,,,,,
en.publicrequest.sendOTP,Send OTP,,,,,,
en.publicrequest.enterOTP,Enter OTP,,,,,,
en.publicrequest.resendOTPAfter,Resend OTP after,,,,,,
en.publicrequest.resendOTP,Resend OTP,,,,,,
en.publicrequest.verifyOTP,Verify OTP,,,,,,
en.publicrequest.mobileNumber,Mobile Number,,,,,,
en.publicrequest.pleaseEnterMobileNumber,Please enter your mobile number,,,,,,
en.publicrequest.validMobilenumber,Please enter a valid 10 digit mobile number,,,,,,
en.publicrequest.mobileOtp,Mobile otp is required,,,,,,
en.publicrequest.position,Position,,,,,,
en.publicrequest.enterPosition,Enter your position,,,,,,
en.publicrequest.positionMandatory,Position is mandatory,,,,,,
en.publicrequest.positionOnlyAlphabets,"Only alphabets, numbers, space, &, -, and  () are allowed.",,,,,,
en.publicrequest.organisation,Organisation,,,,,,
en.publicrequest.enterOrganisation,Enter your organisation,,,,,,
en.publicrequest.pleaseEnterOrganisation,Please enter your organisation name,,,,,,
en.publicrequest.porgPositionOnlyAlphabets,"Only alphabets, numbers, space, &, -, and  () are allowed.",,,,,,
en.publicrequest.domain,Domain,,,,,,
en.publicrequest.exDomain,Example: @gov.in,,,,,,
en.publicrequest.enterDomain,Enter your domain (Example: @gov.in),,,,,,
en.publicrequest.validDomainName,Please enter a valid domain name,,,,,,
en.publicrequest.addDetails,Add details,,,,,,
en.publicrequest.typeHere,Type here,,,,,,
en.publicrequest.detailsMandatory,Details is mandatory,,,,,,
en.publicrequest.confirmProvider,I confirm that the above provided information is accurate.,,,,,,
en.publicrequest.submit,Submit,,,,,,
en.globalsearch.home,home,,,,,,
en.globalsearch.Search,Search,,,,,,
en.learnsearch.searchResults,search results,,,,,,
en.learnsearch.searchResult,search result,,,,,,
en.learnsearch.for,for,,,,,,
en.learnsearch.course,Course,,,,,,
en.learnsearch.audio,Audio,,,,,,
en.learnsearch.pdf,PDF,,,,,,
en.learnsearch.webpage,Webpage,,,,,,
en.learnsearch.by,By,,,,,,
en.learnsearch.noResults,No results found,,,,,,
en.learnsearch.removeFilters,Try removing the filters or search using different keywords,,,,,,
en.searchfilters.filterSearch,Filter search,,,,,,
en.searchfilters.contentType,Content Type,,,,,,
en.searchfilters.program,Program,,,,,,
en.searchfilters.course,Course,,,,,,
en.searchfilters.learningResource,Learning Resource,,,,,,
en.searchfilters.standaloneAssessment,Standalone Assessment,,,,,,
en.searchfilters.moderatedCourses,Moderated Courses,,,,,,
en.searchfilters.blendedProgram,Blended Program,,,,,,
en.searchfilters.curatedProgram,Curated Program,,,,,,
en.utilslogout.logoutNow,Logout Now,,,,,,
en.utilslogout.logoutNote,Note: On logging out all the downloaded content will be deleted.,,,,,,
en.utilslogout.logoutConfirm,Are you sure?,,,,,,
en.utilslogout.logoutYes,Yes,,,,,,
en.utilslogout.logoutNo,No,,,,,,
en.tour.getStarted,Get started,,,,,,
en.tour.welcomeNote,Namaste! Welcome to the journey of anytime anywhere learning.,,,,,,
en.tour.whatIsiGOTKarmayogi,What is iGOT Karmayogi?,,,,,,
en.tour.takeTour,Take a tour,,,,,,
en.tour.skip,Skip,,,,,,
en.tour.next,Next,,,,,,
en.tour.previous,Previous,,,,,,
en.tour.finish,Finish,,,,,,
en.tour.startNow,You are all set to start your learning journey.,,,,,,
en.tour.congrats,Congratulations!,,,,,,
en.tour.stepLearn,Learn,,,,,,
en.tour.learnContnet,"Drive your career forward through appropriate courses, programs and assessments.",,,,,,
en.tour.stepDiscuss,Discuss,,,,,,
en.tour.discussContent,Discuss new ideas with colleagues and experts in the government.,,,,,,
en.tour.stepSearch,Search,,,,,,
en.tour.searchContent,Find the perfect course and program tailor-made for you.,,,,,,
en.tour.stepMyProfile,My Profile,,,,,,
en.tour.myProfileContent,Update your information to get the best-suited courses and programs.,,,,,,
en.tourvideo.whatIsiGOTKarmayogi,What is iGOT Karmayogi?,,,,,,
en.tourvideo.skip,Skip,,,,,,
en.tourvideo.next,Next,,,,,,
en.termsandcondition.termsOfService,Terms of Service,,,,,,
en.termsandcondition.p1,"Any visitor  who accesses or establishes a connection ('User') to the iGOT Karmayogi Platform  located at 2nd Floor, NDCC-II Building, Near CP, Opposite to Jantar Mantar, Delhi 110001or any services, including mobile applications provided in connection with this website (collectively 'the Platform'), which are currently owned and managed by Karmayogi Bharat, shall read, understand and agree to following terms and conditions of use.",,,,,,
en.termsandcondition.p2,"If the User has registered for or on behalf of an entity or visits the Platform on behalf of an entity, it is deemed that the User has accepted the following terms and conditions and other policies of the Platform on behalf of that entity.",,,,,,
en.termsandcondition.p3,"Whereas, the Platform provides training information, material and content; and WHEREAS, the User is keen to know, use, operate and learn from the training information, material, and content made available on the Platform; and WHERAS, the Platform and the User acknowledge that the training information, material, and content on the Platform is made available by various entities, including government departments, and private entities such as schools, institutes, teaching professionals, business entities (collectively “the Service Providers”) and that the Platform is used for aggregation of all the information, material, and content at one place for the convenience of the User; and",,,,,,
en.termsandcondition.p4,"Whereas, the user agrees that by using the platform user represent that user is at least 18 years old and that user is legally competent and therefore, with the intention to be bound legally, it is hereby agreed and understood by the user that:",,,,,,
en.termsandcondition.p5,"In order to constitute as an authorized user of the Platform, the User agrees to abide by all the terms and conditions mentioned herein. User is solely responsible for availing the trainings on the Platform and/or for using the service provided by Service Providers and shall ensure that such use complies fully with the provisions mentioned herein.",,,,,,
en.termsandcondition.p6,The Platform respects the privacy of the User and permits the User to control the treatment of their personal information. A complete statement of the current privacy policy pertaining to the Platform can be found by clicking,,,,,,
en.termsandcondition.p7,here,,,,,,
en.termsandcondition.p8,and User agrees to abide by the same.,,,,,,
en.termsandcondition.p9,"The Platform reserves the right, in its sole discretion, to amend, alter, add, delete any or all of the provisions of these terms and conditions at any time. Any changes will be notified to the User by posting them on the Platform or through other reasonable means of providing notice. Any changes to the present terms and conditions will be effective immediately upon notice to User. Use of the Platform by the User after a notice of changes has been published will be deemed as acceptance of the changes by the User.",,,,,,
en.termsandcondition.p10,"It is stated that any aspect, content, or feature of the trainings and/or services on the Platform, as well as any aspect pertaining to the use of the Platform may be changed, limited, or discontinued at any time.",,,,,,
en.termsandcondition.p11,"If the user does not agree to the present terms and conditions or is not satisfied with the platform, the user should discontinue the use of the platform and shall write their query to the contact details mentioned below",,,,,,
en.termsandcondition.p12,"The Platform is protected by copyright, trademark, and other applicable intellectual property and proprietary rights laws and is owned, controlled, and/or licensed by the Platform manager or respective Service Providers. The iGOT Karmayogi logo is a trademark of Karmayogi Bharat. All other trademarks appearing on the Platform are the property of their respective owners/ Service Providers and any use of any such logo or mark without prior written permission of the owner shall attract relevant legal ramifications.",,,,,,
en.termsandcondition.p13,"User will make no other use of the content without the express written permission of the Platform, the copyright owner or its authorized agent. User will not modify, publish, distribute, transmit, participate in the transfer or sale, create derivative works, or in any way exploit, commercially or otherwise, any of the content, in whole or in part, found on the Platform that was not expressly created by User itself. User agrees that User do not acquire any ownership rights in the Platform or over any downloaded content. User further agrees that all rights in the Platform and any of the content found on the Platform not expressly granted to User is expressly reserved to the owner and/or its licensors/ authorized Service Providers.",,,,,,
en.termsandcondition.p14,"User will use the Platform and any content, material, or information found on the Platform solely for lawful purposes. User shall not upload to, distribute to, or otherwise disseminate through the Platform any material or information of any kind that is defamatory, abusive, obscene, or otherwise violates any law or infringes or violates any rights of any other person or entity, or contains a solicitation of funds, advertising, or a solicitation for goods or services.",,,,,,
en.termsandcondition.p15,Other User Responsibilities:,,,,,,
en.termsandcondition.p16,A User must,,,,,,
en.termsandcondition.p17,Be a natural person to access or seek to access the Platform and its Services;,,,,,,
en.termsandcondition.p18,"Not permit any other person to use the User's username and password; keep the User’s account username, password, at all times and not disclose password to anyone else;",,,,,,
en.termsandcondition.p19,Not access or link to or seek to access or link to (either directly or indirectly) any other User’s 's Platform account;,,,,,,
en.termsandcondition.p20,Report the HelpDesk immediately if the User suspects that the security of his/her account may have been compromised e.g.: password or username has been lost or stolen. Contact Platform using the details at Contact Us;,,,,,,
